"station_id","stationname","LINES","POINT_X","POINT_Y","TL","BS","RD","BD","LUI","LUM","LS","GBS","TS","ES","avg_rides"
30,"Pulaski-Lake","Green Line (Lake)",1149789.47306214,1901420.43035568,1,26,11.40148652,0.238868464,70,0.601575528,0.742857143,0.1,0.114285714,0.042857143,6.56677722009865
40,"Quincy/Wells","Brown, Orange, Pink, Purple (Express)",1174769.55910141,1899173.22932958,4,73,22.16245035,8.789161139,569,0.613900662,0.67486819,0.175746924,0.096660808,0.029876977,8.22116685977895
60,"Belmont-O'Hare","Blue Line",1153202.40157732,1920656.94749359,1,50,17.23793264,0.367057072,120,0.491330671,0.791666667,0.075,0.058333333,0.041666667,7.94443375588518
70,"Jackson/Dearborn","Blue Line",1175981.49715054,1898986.07233741,1,78,19.50634826,7.190838464,675,0.650085311,0.642962963,0.148148148,0.152592593,0.038518519,8.04136747016611
80,"Sheridan","Red Line",1168782.69906383,1926475.82647501,1,59,12.70599057,0.774394068,198,0.549820412,0.757575758,0.065656566,0.070707071,0.04040404,7.74435579007156
90,"Damen-Brown","Brown Line",1162299.35492979,1931030.29073525,1,36,14.21383612,0.564466075,118,0.329143467,0.872881356,0.042372881,0.016949153,0.059322034,7.23608803716401
100,"Morse","Red Line",1165641.09906091,1946344.11935752,1,38,12.33423377,0.574323672,89,0.562018786,0.775280899,0.078651685,0.078651685,0.06741573,7.65904742361831
120,"35th/Archer","Orange Line",1162147.77912165,1881157.78688081,1,46,13.58756896,0.183300448,37,0.617247585,0.702702703,0.108108108,0.027027027,0.081081081,7.42678480558111
130,"51st","Green Line",1179151.84211349,1871283.07634361,1,41,12.1039416,0.273428146,52,0.705676663,0.615384615,0.076923077,0.038461538,0.192307692,6.14656435620145
150,"Pulaski-Cermak","Pink",1150164.33155849,1889923.88301697,1,43,14.49882592,0.320229603,55,0.679673339,0.636363636,0.127272727,0.018181818,0.072727273,6.51885225917295
160,"LaSalle/Van Buren","Brown, Orange, Pink, Purple (Express)",1175321.45695792,1898497.01044895,4,74,20.39929003,7.318861134,522,0.636942413,0.657088123,0.159003831,0.12835249,0.040229885,7.25279296805034
170,"Ashland-Lake","Green (Lake), Pink",1165706.56389297,1901501.95688375,2,30,16.58396291,0.419761378,84,0.600312105,0.69047619,0.154761905,0.047619048,0.095238095,7.34297461410852
190,"Sox-35th-Dan Ryan","Red Line",1175756.53587033,1881859.32211346,1,31,16.1681286,0.360624276,81,0.766791983,0.456790123,0.111111111,0.086419753,0.333333333,7.58850236576264
210,"Damen-Cermak","Pink",1163335.47601876,1890260.80487328,1,48,13.70577538,0.362438912,57,0.61541558,0.684210526,0.052631579,0.087719298,0.157894737,6.92913682061314
220,"Western-Forest Park","Blue Line (Congress)",1159883.32292754,1897892.77774439,1,50,17.55691168,0.178478423,48,0.565653458,0.729166667,0.125,0.041666667,0.083333333,6.61649557259314
240,"79th","Red Line",1177486.45894394,1852436.46589406,1,48,15.85937066,0.188707307,34,0.568459259,0.735294118,0.058823529,0.058823529,0.117647059,7.89446573318829
250,"Kedzie-Homan-Forest Park","Blue Line (Congress)",1155108.3249071,1897455.04718398,1,57,16.43773632,0.303360119,47,0.649909655,0.680851064,0.063829787,0,0.212765957,6.74912727060032
260,"State/Lake","Brown, Orange, Pink,  Purple (Express), Green",1176356.59423889,1901743.42939598,5,103,25.65736587,7.615275268,884,0.588616779,0.679864253,0.119909502,0.168552036,0.012443439,8.7653184001048
280,"Central-Lake","Green Line (Lake)",1138825.73519593,1902065.79330028,1,24,13.36733558,0.34363434,48,0.61105854,0.666666667,0.0625,0.041666667,0.208333333,6.98871340463682
290,"Ashland/63rd","Green Line (Englewood)",1166854.40799004,1862752.12183966,1,32,14.52863495,0.25914184,52,0.59461885,0.730769231,0.115384615,0.019230769,0.134615385,6.15393347535572
300,"Indiana","Green Line",1178284.91449668,1878463.5617263,1,44,14.65106765,0.301481665,43,0.77004766,0.604651163,0.11627907,0.069767442,0.209302326,5.73839227219858
310,"Western-Orange","Orange Line",1161268.48644883,1872085.72671236,1,34,11.88240209,0.234398072,34,0.645151098,0.676470588,0.117647059,0.058823529,0.117647059,7.70632532619722
320,"Division/Milwaukee","Blue Line",1165779.32370104,1908078.03624988,1,36,18.3937529,0.457985519,221,0.429126357,0.828054299,0.036199095,0.054298643,0.054298643,8.02766081736509
330,"Grand/State","Red Line",1176288.17926282,1903902.00526999,1,102,23.30844681,6.127588399,797,0.521149153,0.744040151,0.075282309,0.144291092,0.013801757,8.50169010782084
350,"UIC-Halsted","Blue Line",1170448.20024938,1897969.67528046,1,50,20.31426503,0.614961477,158,0.643642637,0.613924051,0.044303797,0.094936709,0.240506329,8.0557041122497
360,"Southport","Brown Line",1166449.96254966,1922826.81834361,1,27,15.51995195,0.490289702,159,0.350074194,0.867924528,0.056603774,0.025157233,0.025157233,7.49433424322975
370,"Washington/Dearborn","Blue Line",1175927.28403049,1900801.1532991,1,84,23.83760202,8.610219283,875,0.614153719,0.665142857,0.140571429,0.154285714,0.020571429,8.71777190403847
380,"Clark/Lake","Brown, Orange, Pink, Purple (Express), Green, Blue",1175525.85913411,1901735.36641997,6,87,24.75387404,7.979077056,832,0.560256804,0.697115385,0.128605769,0.151442308,0.007211538,8.96644924704461
430,"Clinton-Forest Park","Blue Line",1172806.09209158,1897996.84712049,1,53,23.9605911,3.825206743,263,0.523273574,0.756653992,0.095057034,0.095057034,0.041825095,7.37629460135955
440,"California-Cermak","Pink",1158201.07396598,1890136.33869717,1,25,12.19508509,0.37793297,64,0.751809568,0.515625,0.28125,0.046875,0.125,6.83460250658843
450,"95th/Dan Ryan","Red Line",1177778.98067221,1842222.00572454,1,36,16.12675702,0.141180653,19,0.697186209,0.684210526,0.052631579,0,0.263157895,8.38272107633902
460,"Merchandise Mart","Brown, Purple (Express)",1174675.57817332,1902905.85602106,2,68,23.37113956,5.234764534,580,0.508804388,0.739655172,0.110344828,0.131034483,0.005172414,8.13895521443313
470,"Racine","Blue Line",1167774.55595889,1898083.15752057,1,39,16.58775865,0.319379539,63,0.653764657,0.634920635,0.063492063,0.047619048,0.222222222,6.95866457808431
480,"Cicero-Lake","Green Line (Lake)",1144532.74806525,1901787.32648402,1,20,13.65484683,0.456729817,35,0.536190037,0.771428571,0.057142857,0.028571429,0.142857143,6.39588335640241
490,"Grand/Milwaukee","Blue Line (O'Hare)",1170964.65874586,1903685.42030979,1,51,21.03452584,0.709125637,138,0.33125406,0.876811594,0.028985507,0.050724638,0.028985507,7.3715928784546
510,"Garfield-South Elevated","Green Line",1179221.19584155,1868763.71813326,1,34,11.98970275,0.224228685,44,0.513741999,0.772727273,0.090909091,0.068181818,0.045454545,6.35274553359396
530,"Diversey","Brown, Purple (Express)",1169332.77215234,1918811.40944387,2,35,15.07368594,0.689124586,197,0.344987852,0.873096447,0.035532995,0.030456853,0.025380711,7.93226502534604
540,"Wilson","Purple, Red Line",1168029.49407113,1930295.53438257,2,46,12.66928485,1.08457962,108,0.564237843,0.740740741,0.111111111,0.064814815,0.046296296,8.42015524537326
550,"Irving Park-O'Hare","Blue Line",1148588.58858103,1926020.53969059,1,41,17.61659119,0.323188834,66,0.376634064,0.848484848,0.060606061,0.015151515,0.060606061,7.62505929974636
560,"Jackson/State","Red Line",1176444.43423897,1898979.0284974,1,75,17.01700167,6.481708691,672,0.66510747,0.629464286,0.138392857,0.172619048,0.038690476,8.1418783724942
570,"California/Milwaukee","Blue Line (O'Hare)",1157455.12068528,1914787.23945613,1,50,16.23091088,0.39104147,214,0.373055869,0.855140187,0.065420561,0.028037383,0.028037383,7.86063430295153
590,"Damen/Milwaukee","Blue Line",1162783.21413024,1910383.12246002,1,45,15.45570686,0.509516943,336,0.311120485,0.883928571,0.056547619,0.029761905,0.011904762,8.00692819478321
630,"Clark/Division","Red Line",1175328.34617393,1908360.20047414,1,83,16.91729168,2.990846831,273,0.433611331,0.824175824,0.051282051,0.065934066,0.029304029,8.31127397529291
650,"North/Clybourn","Red Line",1170472.73119341,1910775.10249239,1,28,14.61042971,0.357163639,163,0.390970983,0.846625767,0.030674847,0.049079755,0.018404908,7.86922480660215
660,"Armitage","Brown, Purple (Express)",1169507.15116051,1913523.19132695,2,29,14.40954813,0.489596432,187,0.461020553,0.802139037,0.048128342,0.016042781,0.090909091,7.77666826052537
670,"Western/Milwaukee","Blue Line (O'Hare)",1160063.30014371,1912699.74915018,1,49,16.37256557,0.400614543,172,0.364546132,0.860465116,0.058139535,0.023255814,0.023255814,7.88554904721504
680,"Adams/Wabash","Brown, Orange, Pink,  Purple (Express), Green",1176848.36665534,1899477.04526587,5,72,16.07663586,6.212305622,701,0.667148777,0.629101284,0.124108417,0.184022825,0.038516405,8.27145411629876
700,"Laramie","Green Line (Lake)",1141729.75260664,1902002.90459622,1,22,14.27259377,0.295742745,38,0.584014503,0.710526316,0.052631579,0.026315789,0.157894737,6.37954410443557
710,"Chicago/Franklin","Brown, Purple (Express)",1174115.1544928,1905746.07592771,2,63,17.96579012,1.825094053,280,0.493592319,0.789285714,0.067857143,0.071428571,0.042857143,8.17406197014201
720,"East 63rd-Cottage Grove","Green Line",1182666.51808476,1863374.47652824,1,59,14.01722041,0.365392445,66,0.78716763,0.515151515,0.151515152,0.121212121,0.196969697,6.15152211660965
730,"Washington/Wells","Brown, Orange, Pink, Purple (Express)",1174726.83884537,1900620.27445093,4,84,24.02259174,9.762697972,772,0.543017214,0.712435233,0.14507772,0.120466321,0.006476684,8.28777016145832
740,"Western-Cermak","Pink",1160828.02104042,1890198.73280923,1,26,11.99924032,0.358045955,75,0.548227796,0.746666667,0.173333333,0,0.066666667,6.61855571585429
750,"Harlem-O'Hare","Blue Line (O'Hare)",1126838.69876877,1936585.06680443,1,20,18.62514389,0.169582834,28,0.757806405,0.678571429,0.214285714,0,0.107142857,7.28187135589375
760,"Granville","Red Line",1167506.03909464,1941002.51448854,1,27,12.45094728,1.37777163,95,0.624886433,0.694736842,0.073684211,0.052631579,0.136842105,7.5590811914044
780,"Central Park","Pink",1152737.52861689,1889991.51591303,1,49,17.32580023,0.353247718,62,0.724915132,0.629032258,0.064516129,0.096774194,0.112903226,6.44927403101098
790,"Monroe/Dearborn","Blue Line",1175951.62118251,1899904.51841827,1,85,20.33449392,8.609053862,799,0.639564419,0.648310388,0.147684606,0.155193992,0.028785982,8.05645909445269
800,"Sedgwick","Brown, Purple (Express)",1173161.40626791,1910707.27350033,2,46,15.57147882,0.909438055,159,0.493931131,0.79245283,0.056603774,0.062893082,0.050314465,7.72053128523285
810,"Medical Center","Blue Line",1163828.91499522,1897961.33198446,1,67,16.10553535,0.911420956,96,0.857675172,0.427083333,0.052083333,0.135416667,0.28125,7.29890666813712
830,"18th","Pink",1165182.26334848,1891511.43450645,1,44,14.37387312,0.342579121,127,0.661283736,0.653543307,0.078740157,0.165354331,0.078740157,7.02053409324981
850,"Library","Brown, Orange, Pink, Purple (Express)",1176281.20684682,1898524.19201698,4,71,18.11657377,6.014948988,578,0.660265334,0.638408304,0.140138408,0.157439446,0.044982699,7.78001954107986
870,"Francisco","Brown Line",1156039.37233196,1930887.06155112,1,16,14.56092474,0.386823046,51,0.322249961,0.882352941,0.039215686,0.039215686,0.019607843,6.71768613997251
880,"Thorndale","Red Line",1167550.17426268,1939762.06751139,1,33,12.80774294,1.522631267,77,0.510660502,0.779220779,0.064935065,0.025974026,0.064935065,7.26199864157066
910,"63rd-Dan Ryan","Red Line",1175808.13267038,1863399.65745627,1,39,18.05830386,0.20450069,24,0.707668718,0.625,0.083333333,0.041666667,0.166666667,7.05976922383476
920,"Pulaski-Forest Park","Blue Line (Congress)",1149758.98320612,1897220.94772777,1,46,17.65602603,0.30090544,38,0.564870476,0.763157895,0.052631579,0.052631579,0.131578947,6.72669880398759
930,"Midway Airport","Orange Line",1146620.91702719,1865394.75454613,1,19,13.47880454,0.20259187,8,0.819448372,0.625,0,0.25,0.125,8.47192751481953
940,"Halsted/63rd","Green Line",1172260.63647507,1862821.97015973,1,31,15.67248966,0.256203665,41,0.696737864,0.634146341,0.146341463,0.048780488,0.048780488,5.54396654006201
960,"Pulaski-Orange","Orange Line",1150270.22237459,1870257.60178265,1,30,12.10359306,0.277358655,51,0.565227754,0.764705882,0.117647059,0.039215686,0.078431373,7.9827282563524
970,"Cicero-Forest Park","Blue Line (Congress)",1144440.97667316,1896352.78926296,1,49,13.76238364,0.197164598,21,0.563384144,0.80952381,0,0.095238095,0.095238095,6.45540818497384
990,"69th","Red Line",1177260.46342373,1858977.89284415,1,60,18.12968254,0.228432674,36,0.632399347,0.75,0,0.055555556,0.194444444,7.57510590449807
1000,"Cermak-Chinatown","Red Line",1175600.57759818,1889880.86554493,1,51,17.5105178,0.532371668,175,0.592167281,0.691428571,0.114285714,0.148571429,0.034285714,7.79486676010538
1010,"Rockwell","Brown Line",1158091.02161388,1930925.25598316,1,25,14.99587303,0.418311508,111,0.389538506,0.846846847,0.036036036,0.063063063,0.036036036,6.75421552361363
1020,"Logan Square","Blue Line",1154263.50109831,1917602.19677075,1,53,16.29908683,0.444341339,236,0.379274873,0.851694915,0.055084746,0.042372881,0.012711864,8.1510698298605
1030,"Polk","Pink",1165039.42430835,1896486.58894308,1,64,14.38663718,1.214089186,132,0.784389691,0.5,0.037878788,0.098484848,0.28030303,7.54735068274952
1040,"Kedzie-Cermak","Pink",1155312.29879529,1890060.7219291,1,45,15.5759677,0.377724742,52,0.72216209,0.596153846,0.096153846,0.115384615,0.173076923,6.49955702747332
1060,"Ashland-Orange","Orange Line",1166283.2435735,1884759.33773216,1,21,14.87157443,0.112828242,33,0.398225072,0.878787879,0.090909091,0.03030303,0,6.95444052160801
1070,"Kedzie-Lake","Green Line (Lake)",1155033.73418703,1901060.63233934,1,46,13.41558713,0.202577286,47,0.715228832,0.595744681,0.14893617,0.063829787,0.170212766,6.49916765382899
1080,"47th-South Elevated","Green Line",1179041.79692939,1873875.82873002,1,38,14.37561585,0.309416314,53,0.680197676,0.698113208,0.094339623,0.094339623,0.113207547,6.23957231448846
1090,"Monroe/State","Red Line",1176409.33715094,1899923.25429028,1,81,19.36413393,7.522703206,778,0.644788544,0.64781491,0.132390746,0.165809769,0.030848329,8.12864882262032
1120,"35-Bronzeville-IIT","Green Line",1177050.91513553,1882047.58707363,1,40,16.46594456,0.324858679,82,0.813445063,0.37804878,0.182926829,0.085365854,0.341463415,6.78483406546963
1130,"Halsted-Orange","Orange Line",1170942.96556184,1887545.79610276,1,33,18.46265388,0.188182936,23,0.509583164,0.826086957,0,0.130434783,0.043478261,7.29903130764402
1140,"King Drive","Green Line",1180024.5514903,1863287.02462416,1,55,12.33803611,0.287087602,33,0.533240565,0.757575758,0.090909091,0.090909091,0.03030303,5.37433388042246
1150,"Kedzie-Midway","Orange Line",1155746.78506769,1871922.53234421,1,28,9.004802552,0.339828784,35,0.469610707,0.8,0.085714286,0.028571429,0.057142857,7.67778906072535
1160,"Clinton-Lake","Green (Lake), Pink",1172561.88677935,1901699.06101194,2,43,24.32997121,4.440799803,372,0.433162008,0.809139785,0.086021505,0.077956989,0.01344086,7.67461567591885
1170,"Garfield-Dan Ryan","Red Line",1175717.82047829,1868822.88715732,1,39,19.77115936,0.112032881,42,0.458862366,0.80952381,0.071428571,0.047619048,0.047619048,7.26841990062075
1180,"Kedzie-Brown","Brown Line",1154084.66231414,1930852.94827109,1,36,14.49692459,0.431416059,81,0.431659831,0.839506173,0.086419753,0,0.049382716,7.02330837919917
1190,"Jarvis","Red Line",1164754.77227608,1949075.67852806,1,32,12.20506544,0.521314377,95,0.564042042,0.736842105,0.094736842,0.094736842,0.052631579,6.73299097642412
1200,"Argyle","Red Line",1167746.82808687,1933638.97732968,1,58,12.18539656,0.845326582,192,0.433748498,0.817708333,0.09375,0.026041667,0.03125,7.71878483666917
1210,"Wellington","Brown, Purple (Express)",1169286.3350323,1920014.04624499,2,43,14.95537469,0.715670888,225,0.363711499,0.862222222,0.04,0.048888889,0.022222222,7.37069726873251
1220,"Fullerton","Red, Brown, Purple (Express)",1169427.09509643,1916013.32534527,3,25,14.81119792,0.626748066,210,0.545938613,0.733333333,0.071428571,0.047619048,0.138095238,8.83569996925611
1230,"47th-Dan Ryan","Red Line",1175712.49286229,1874259.92345038,1,32,18.58936582,0.090050523,21,0.55913758,0.761904762,0.047619048,0.142857143,0.047619048,7.14763640371088
1240,"Addison-O'Hare","Blue Line",1151344.51459959,1924006.59972071,1,21,18.08880461,0.320944711,37,0.448239039,0.837837838,0.054054054,0.054054054,0.054054054,7.27529723696664
1270,"43rd","Green Line",1178962.66758531,1876518.81702049,1,40,14.88752138,0.324433801,34,0.745553436,0.676470588,0.088235294,0,0.235294118,6.1694548420903
1280,"Jefferson Park","Blue Line",1139918.57154895,1932409.02840054,1,41,17.02353483,0.286649779,95,0.684505512,0.568421053,0.284210526,0.084210526,0.021052632,8.19713267992114
1290,"Kimball","Brown Line",1152910.87594505,1931513.3373917,1,39,14.31882798,0.455317373,88,0.579668302,0.738636364,0.079545455,0,0.159090909,7.74219264532289
1300,"Loyola","Red Line",1166979.64523815,1943698.46533905,1,27,12.80488683,0.793403153,156,0.76473046,0.519230769,0.08974359,0.115384615,0.256410256,7.8785148851993
1310,"Paulina","Brown Line",1164471.22974782,1922773.86704756,1,33,15.97893574,0.459422453,116,0.367944141,0.844827586,0.060344828,0.00862069,0.077586207,7.29459573237857
1320,"Belmont-North Main","Red, Brown, Purple (Express)",1169244.56018426,1921368.70147826,3,42,14.44271451,0.678872284,287,0.38420264,0.853658537,0.038327526,0.041811847,0.031358885,8.68531771351484
1330,"Montrose-O'Hare","Blue Line",1144639.34672135,1929107.50647746,1,22,19.45155711,0.242742835,24,0.415373501,0.875,0,0.041666667,0.083333333,7.10362838815265
1340,"LaSalle","Blue Line",1175328.49516593,1898027.79675252,1,65,19.25055615,6.213746304,426,0.655628956,0.643192488,0.15258216,0.14084507,0.049295775,7.37574462602092
1360,"California-Lake","Green Line (Lake)",1157735.61553354,1901043.52283533,1,33,13.66705121,0.184741986,30,0.685975258,0.666666667,0.133333333,0.033333333,0.166666667,6.44775944350853
1380,"Bryn Mawr","Red Line",1167633.60312676,1937300.91346109,1,41,12.95470271,1.326913612,79,0.414045093,0.835443038,0.063291139,0.025316456,0.037974684,7.62419380387045
1400,"Roosevelt","Red, Orange, Green",1176529.51123105,1895049.38830174,3,55,14.12999264,2.630244479,186,0.624184482,0.693548387,0.059139785,0.134408602,0.080645161,8.69760966672041
1410,"Chicago/Milwaukee","Blue Line",1168871.48498392,1905449.33352743,1,43,20.55987106,0.307177504,97,0.449205936,0.81443299,0.06185567,0.041237113,0.06185567,7.61936816895575
1420,"Addison-North Main","Red Line",1169155.59813618,1924165.78538486,1,54,14.49949517,0.837410195,271,0.41444881,0.833948339,0.05904059,0.055350554,0.022140221,8.43828239191249
