"station_id","stationname","LINES","POINT_X","POINT_Y","TL","avg_rides","LUI","BS","BD","RD","LS","GBS","TS","ES","LUM"
30,"Pulaski-Lake","Green Line (Lake)",1149789.47306214,1901420.43035568,1,6.56677722009865,38,22,0.26603917,11.45615096,0.763157895,0.157894737,0.026315789,0.052631579,0.539868706
40,"Quincy/Wells","Brown, Orange, Pink, Purple (Express)",1174769.55910141,1899173.22932958,4,8.22116685977895,94,12,11.74386008,28.11495578,0.712765957,0.106382979,0.170212766,0,0.598319656
60,"Belmont-O'Hare","Blue Line",1153202.40157732,1920656.94749359,1,7.94443375588518,73,36,0.349802524,17.63262577,0.808219178,0.082191781,0.04109589,0.054794521,0.451423312
70,"Jackson/Dearborn","Blue Line",1175981.49715054,1898986.07233741,1,8.04136747016611,30,3,10.13991168,20.766752,0.333333333,0.466666667,0.2,0,0.950068598
80,"Sheridan","Red Line",1168782.69906383,1926475.82647501,1,7.74435579007156,122,49,0.843974323,12.40742789,0.721311475,0.073770492,0.057377049,0.049180328,0.601569857
90,"Damen-Brown","Brown Line",1162299.35492979,1931030.29073525,1,7.23608803716401,52,21,0.559339123,13.89814549,0.826923077,0.076923077,0.019230769,0.057692308,0.416916387
100,"Morse","Red Line",1165641.09906091,1946344.11935752,1,7.65904742361831,69,33,0.556367357,12.20481725,0.797101449,0.057971014,0.057971014,0.086956522,0.521765422
120,"35th/Archer","Orange Line",1162147.77912165,1881157.78688081,1,7.42678480558111,37,46,0.183300369,13.59246886,0.702702703,0.108108108,0.027027027,0.081081081,0.617247585
130,"51st","Green Line",1179151.84211349,1871283.07634361,1,6.14656435620145,38,31,0.288333521,10.88199332,0.605263158,0.052631579,0.052631579,0.210526316,0.709759875
150,"Pulaski-Cermak","Pink",1150164.33155849,1889923.88301697,1,6.51885225917295,49,42,0.320787613,14.1596086,0.632653061,0.12244898,0.020408163,0.06122449,0.679203601
160,"LaSalle/Van Buren","Brown, Orange, Pink, Purple (Express)",1175321.45695792,1898497.01044895,4,7.25279296805034,26,3,12.81149367,20.37207501,0.730769231,0.153846154,0.115384615,0,0.697563759
170,"Ashland-Lake","Green (Lake), Pink",1165706.56389297,1901501.95688375,2,7.34297461410852,71,27,0.420598193,16.57670423,0.704225352,0.154929577,0.042253521,0.098591549,0.647740255
190,"Sox-35th-Dan Ryan","Red Line",1175756.53587033,1881859.32211346,1,7.58850236576264,21,13,0.379745226,16.24567568,0.666666667,0.047619048,0.095238095,0.19047619,0.688945166
210,"Damen-Cermak","Pink",1163335.47601876,1890260.80487328,1,6.92913682061314,39,36,0.330667163,13.35978701,0.692307692,0.076923077,0.051282051,0.153846154,0.612709862
220,"Western-Forest Park","Blue Line (Congress)",1159883.32292754,1897892.77774439,1,6.61649557259314,49,48,0.1762717,17.72023322,0.734693878,0.12244898,0.040816327,0.081632653,0.558066354
240,"79th","Red Line",1177486.45894394,1852436.46589406,1,7.89446573318829,34,48,0.188717407,15.87860409,0.735294118,0.058823529,0.058823529,0.117647059,0.568459259
250,"Kedzie-Homan-Forest Park","Blue Line (Congress)",1155108.3249071,1897455.04718398,1,6.74912727060032,38,51,0.316329481,16.77670778,0.684210526,0.052631579,0,0.210526316,0.647497537
260,"State/Lake","Brown, Orange, Pink,  Purple (Express), Green",1176356.59423889,1901743.42939598,5,8.7653184001048,145,20,8.168411635,39.98974796,0.655172414,0.089655172,0.220689655,0.013793103,0.600244111
280,"Central-Lake","Green Line (Lake)",1138825.73519593,1902065.79330028,1,6.98871340463682,43,24,0.359351625,13.16552496,0.651162791,0.069767442,0.046511628,0.209302326,0.635390488
290,"Ashland/63rd","Green Line (Englewood)",1166854.40799004,1862752.12183966,1,6.15393347535572,52,32,0.259135577,14.53444442,0.730769231,0.115384615,0.019230769,0.134615385,0.59461885
300,"Indiana","Green Line",1178284.91449668,1878463.5617263,1,5.73839227219858,38,37,0.309755095,14.67821096,0.552631579,0.131578947,0.078947368,0.236842105,0.819588508
310,"Western-Orange","Orange Line",1161268.48644883,1872085.72671236,1,7.70632532619722,34,34,0.234398156,11.8866862,0.676470588,0.117647059,0.058823529,0.117647059,0.645151098
320,"Division/Milwaukee","Blue Line",1165779.32370104,1908078.03624988,1,8.02766081736509,187,31,0.459704174,17.93392464,0.818181818,0.037433155,0.064171123,0.064171123,0.438607115
330,"Grand/State","Red Line",1176288.17926282,1903902.00526999,1,8.50169010782084,338,43,6.623174049,21.50242377,0.73964497,0.071005917,0.165680473,0.00295858,0.500946558
350,"UIC-Halsted","Blue Line",1170448.20024938,1897969.67528046,1,8.0557041122497,120,31,0.572716616,19.29029133,0.566666667,0.016666667,0.108333333,0.3,0.64119263
360,"Southport","Brown Line",1166449.96254966,1922826.81834361,1,7.49433424322975,78,12,0.49500739,14.87981613,0.871794872,0.038461538,0.038461538,0.012820513,0.342604513
370,"Washington/Dearborn","Blue Line",1175927.28403049,1900801.1532991,1,8.71777190403847,46,5,10.29297819,21.42919619,0.434782609,0.347826087,0.173913043,0,0.843970523
380,"Clark/Lake","Brown, Orange, Pink, Purple (Express), Green, Blue",1175525.85913411,1901735.36641997,6,8.96644924704461,60,8,8.035533692,30.98723382,0.616666667,0.266666667,0.116666667,0,0.820336724
430,"Clinton-Forest Park","Blue Line",1172806.09209158,1897996.84712049,1,7.37629460135955,94,27,2.067643017,20.09515085,0.70212766,0.180851064,0.042553191,0.053191489,0.577770157
440,"California-Cermak","Pink",1158201.07396598,1890136.33869717,1,6.83460250658843,41,23,0.372906863,13.55298476,0.463414634,0.268292683,0.048780488,0.195121951,0.786722768
450,"95th/Dan Ryan","Red Line",1177778.98067221,1842222.00572454,1,8.38272107633902,19,34,0.144164859,15.87470356,0.684210526,0.052631579,0,0.263157895,0.697186209
460,"Merchandise Mart","Brown, Purple (Express)",1174675.57817332,1902905.85602106,2,8.13895521443313,160,22,3.90053612,21.88321151,0.78125,0.1,0.09375,0.00625,0.46681897
470,"Racine","Blue Line",1167774.55595889,1898083.15752057,1,6.95866457808431,37,27,0.257391979,16.84669387,0.675675676,0.108108108,0.027027027,0.189189189,0.66218764
480,"Cicero-Lake","Green Line (Lake)",1144532.74806525,1901787.32648402,1,6.39588335640241,29,19,0.489418391,13.73315842,0.793103448,0.034482759,0.034482759,0.137931034,0.49723317
490,"Grand/Milwaukee","Blue Line (O'Hare)",1170964.65874586,1903685.42030979,1,7.3715928784546,37,27,0.61947478,19.92439007,0.837837838,0.054054054,0.054054054,0.054054054,0.448239039
510,"Garfield-South Elevated","Green Line",1179221.19584155,1868763.71813326,1,6.35274553359396,25,22,0.226000525,12.22261511,0.72,0.08,0.12,0.04,0.59059309
